Layer,Head,Impact,SNR,P_val,Selected
0,19,0.1433018427549763,3.3917021807525423,0.0,True
24,9,0.1075994157903945,3.140193666059436,0.0,True
25,3,0.2321622112058103,3.944811292714478,0.0,True
26,2,0.0749715884565641,2.610898942001377,0.0,True
26,3,0.0760119067667275,3.803476987809517,0.0,True
27,4,0.0497611505292616,2.35241579835608,0.0,True
27,5,0.0586628073993111,2.15250532792896,0.0,True
27,12,0.0932027597654218,2.6289017334880462,0.0,True
28,4,0.0519285278896185,2.188581648655284,0.0,True
30,17,0.0386870331377219,2.573648230116895,0.0,True
31,2,0.078481939597346,2.830444817095082,0.0,True
32,7,0.0946792482210797,2.161564464983889,0.0,True
32,9,0.0420954622466211,2.0562420704625377,0.0,True
32,17,0.0787364342041214,2.013473835651739,0.0,True
